"Ad name",Age,Gender,"Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (EGP)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (EGP)","Link clicks",shop_clicks,"CPC (cost per link click) (EGP)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (EGP)","Landing page views","Cost per landing page view (EGP)","Messaging conversations started","Ad ID","Ad set name","Campaign ID","Campaign name","Ad set ID","Reporting starts","Reporting ends",Bid,"Bid type",Objective,"Cost per messaging conversation started (EGP)"
"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",18-24,female,not_delivering,"7-day click or 1-day view",13,actions:onsite_conversion.messaging_conversation_started_7d,0,0,20.36,"Using campaign budget",0,264.68,2023-04-18,-,-,-,10842,24.41247,24,,11.028333,0.221361,194,1.789338,1.36433,,,13,23853645612050516,"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",23853645611910516,"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",23853645612010516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,20.36
"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",18-24,male,not_delivering,"7-day click or 1-day view",15,actions:onsite_conversion.messaging_conversation_started_7d,0,0,26.14466667,"Using campaign budget",0,392.17,2023-04-18,-,-,-,22920,17.110384,55,,7.130364,0.239965,392,1.710297,1.000434,,,15,23853645612050516,"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",23853645611910516,"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",23853645612010516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,26.144667
"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",18-24,unknown,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0.48,2023-04-18,-,-,-,10,48,,,,,0,0,0,,,,23853645612050516,"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",23853645611910516,"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",23853645612010516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",25-34,female,not_delivering,"7-day click or 1-day view",5,actions:onsite_conversion.messaging_conversation_started_7d,0,0,23.468,"Using campaign budget",0,117.34,2023-04-18,-,-,-,3337,35.16332,7,,16.762857,0.209769,70,2.097693,1.676286,,,5,23853645612050516,"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",23853645611910516,"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",23853645612010516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,23.468
"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",25-34,male,not_delivering,"7-day click or 1-day view",17,actions:onsite_conversion.messaging_conversation_started_7d,0,0,19.07058824,"Using campaign budget",0,324.2,2023-04-18,-,-,-,13943,23.251811,38,,8.531579,0.272538,290,2.079897,1.117931,,,17,23853645612050516,"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",23853645611910516,"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",23853645612010516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,19.070588
"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",25-34,unknown,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,1.13,2023-04-18,-,-,-,24,47.083333,,,,,0,0,0,,,,23853645612050516,"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",23853645611910516,"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",23853645612010516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"EiD Fitr 22-4",18-24,female,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,27.8,Ongoing,-,-,-,1377,20.188816,,,,,18,1.30719,1.544444,,,,23853803050550516,"EID Fitr",23853803050450516,"New camp Eid Fetr 22-4",23853803050490516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
"EiD Fitr 22-4",18-24,male,not_delivering,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,0,0,43.94,"Using campaign budget",0,43.94,Ongoing,-,-,-,3369,13.042446,1,,43.94,0.029682,47,1.395073,0.934894,,,1,23853803050550516,"EID Fitr",23853803050450516,"New camp Eid Fetr 22-4",23853803050490516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,43.94
"EiD Fitr 22-4",18-24,unknown,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0.03,Ongoing,-,-,-,4,7.5,,,,,0,0,0,,,,23853803050550516,"EID Fitr",23853803050450516,"New camp Eid Fetr 22-4",23853803050490516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
"EiD Fitr 22-4",25-34,female,not_delivering,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,0,0,11.63,"Using campaign budget",0,11.63,Ongoing,-,-,-,500,23.26,2,,5.815,0.4,9,1.8,1.292222,,,1,23853803050550516,"EID Fitr",23853803050450516,"New camp Eid Fetr 22-4",23853803050490516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,11.63
"EiD Fitr 22-4",25-34,male,not_delivering,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,0,0,41.31,"Using campaign budget",0,41.31,Ongoing,-,-,-,2211,18.683853,3,,13.77,0.135685,33,1.492537,1.251818,,,1,23853803050550516,"EID Fitr",23853803050450516,"New camp Eid Fetr 22-4",23853803050490516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,41.31
"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",18-24,female,not_delivering,"7-day click or 1-day view",22,actions:onsite_conversion.messaging_conversation_started_7d,0,0,8.60863636,"Using campaign budget",0,189.39,2023-05-03,-,-,-,11412,16.595689,35,,5.411143,0.306695,285,2.497371,0.664526,,,22,23853935257650516,"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",23853935257530516,"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",23853935257600516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,8.608636
"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",18-24,male,not_delivering,"7-day click or 1-day view",28,actions:onsite_conversion.messaging_conversation_started_7d,0,0,11.9425,"Using campaign budget",0,334.39,2023-05-03,-,-,-,29438,11.359128,89,,3.757191,0.30233,805,2.734561,0.415391,,,28,23853935257650516,"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",23853935257530516,"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",23853935257600516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,11.9425
"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",18-24,unknown,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0.17,2023-05-03,-,-,-,20,8.5,,,,,0,0,0,,,,23853935257650516,"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",23853935257530516,"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",23853935257600516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",25-34,female,not_delivering,"7-day click or 1-day view",7,actions:onsite_conversion.messaging_conversation_started_7d,0,0,10.61142857,"Using campaign budget",0,74.28,2023-05-03,-,-,-,3151,23.573469,11,,6.752727,0.349096,99,3.14186,0.750303,,,7,23853935257650516,"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",23853935257530516,"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",23853935257600516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,10.611429
"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",25-34,male,not_delivering,"7-day click or 1-day view",10,actions:onsite_conversion.messaging_conversation_started_7d,0,0,22.431,"Using campaign budget",0,224.31,2023-05-03,-,-,-,14476,15.495303,27,,8.307778,0.186516,341,2.355623,0.657801,,,10,23853935257650516,"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",23853935257530516,"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",23853935257600516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,22.431
"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",25-34,unknown,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0.42,2023-05-03,-,-,-,24,17.5,,,,,0,0,0,,,,23853935257650516,"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",23853935257530516,"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",23853935257600516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",18-24,female,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,13.32,2024-08-24,-,-,-,296,45,,,,,9,3.040541,1.48,,,,120211275815040517,"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",120211275813920517,"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",120211275814200517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",18-24,male,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,29.9,2024-08-24,-,-,-,965,30.984456,1,,29.9,0.103627,24,2.487047,1.245833,,,,120211275815040517,"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",120211275813920517,"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",120211275814200517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",18-24,unknown,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0.01,2024-08-24,-,-,-,1,10,,,,,0,0,0,,,,120211275815040517,"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",120211275813920517,"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",120211275814200517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",25-34,female,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,5.31,2024-08-24,-,-,-,91,58.351648,,,,,5,5.494505,1.062,,,,120211275815040517,"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",120211275813920517,"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",120211275814200517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",25-34,male,not_delivering,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,0,0,33.26,"Using campaign budget",0,33.26,2024-08-24,-,-,-,495,67.191919,,,,,19,3.838384,1.750526,,,1,120211275815040517,"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",120211275813920517,"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",120211275814200517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,33.26
"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",25-34,unknown,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0.12,2024-08-24,-,-,-,5,24,,,,,1,20,0.12,,,,120211275815040517,"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",120211275813920517,"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",120211275814200517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",35-44,female,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0.1,2024-08-24,-,-,-,2,50,,,,,0,0,0,,,,120211275815040517,"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",120211275813920517,"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",120211275814200517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",35-44,male,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0.64,2024-08-24,-,-,-,13,49.230769,,,,,0,0,0,,,,120211275815040517,"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",120211275813920517,"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",120211275814200517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 25% وخصومات خاصة...‎""‎",18-24,female,not_delivering,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,0,0,117.94,"Using campaign budget",0,117.94,2024-11-03,-,-,-,2625,44.929524,6,,19.656667,0.228571,37,1.409524,3.187568,,,1,120212884355220517,"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 25% وخصومات خاصة...‎""‎",120212884354690517,"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 25% وخصومات خاصة...‎""‎",120212884355090517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,117.94
"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 25% وخصومات خاصة...‎""‎",18-24,male,not_delivering,"7-day click or 1-day view",5,actions:onsite_conversion.messaging_conversation_started_7d,0,0,17.226,"Using campaign budget",0,86.13,2024-11-03,-,-,-,2975,28.951261,17,,5.066471,0.571429,51,1.714286,1.688824,,,5,120212884355220517,"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 25% وخصومات خاصة...‎""‎",120212884354690517,"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 25% وخصومات خاصة...‎""‎",120212884355090517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,17.226
"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 25% وخصومات خاصة...‎""‎",18-24,unknown,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0.67,2024-11-03,-,-,-,10,67,,,,,0,0,0,,,,120212884355220517,"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 25% وخصومات خاصة...‎""‎",120212884354690517,"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 25% وخصومات خاصة...‎""‎",120212884355090517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 25% وخصومات خاصة...‎""‎",25-34,female,not_delivering,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,0,0,92.72,"Using campaign budget",0,92.72,2024-11-03,-,-,-,2000,46.36,5,,18.544,0.25,31,1.55,2.990968,,,1,120212884355220517,"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 25% وخصومات خاصة...‎""‎",120212884354690517,"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 25% وخصومات خاصة...‎""‎",120212884355090517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,92.72
"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 25% وخصومات خاصة...‎""‎",25-34,male,not_delivering,"7-day click or 1-day view",9,actions:onsite_conversion.messaging_conversation_started_7d,0,0,17.52111111,"Using campaign budget",0,157.69,2024-11-03,-,-,-,3959,39.830765,21,,7.509048,0.530437,64,1.61657,2.463906,,,9,120212884355220517,"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 25% وخصومات خاصة...‎""‎",120212884354690517,"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 25% وخصومات خاصة...‎""‎",120212884355090517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,17.521111
"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 25% وخصومات خاصة...‎""‎",25-34,unknown,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,1.06,2024-11-03,-,-,-,31,34.193548,,,,,2,6.451613,0.53,,,,120212884355220517,"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 25% وخصومات خاصة...‎""‎",120212884354690517,"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 25% وخصومات خاصة...‎""‎",120212884355090517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 25% وخصومات خاصة...‎""‎",35-44,female,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,10.07,2024-11-03,-,-,-,99,101.717172,,,,,2,2.020202,5.035,,,,120212884355220517,"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 25% وخصومات خاصة...‎""‎",120212884354690517,"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 25% وخصومات خاصة...‎""‎",120212884355090517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 25% وخصومات خاصة...‎""‎",35-44,male,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,4.41,2024-11-03,-,-,-,163,27.055215,,,,,1,0.613497,4.41,,,,120212884355220517,"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 25% وخصومات خاصة...‎""‎",120212884354690517,"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 25% وخصومات خاصة...‎""‎",120212884355090517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",18-24,female,not_delivering,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,0,0,28.95,"Using campaign budget",0,28.95,2024-11-08,-,-,-,551,52.540835,2,,14.475,0.362976,10,1.814882,2.895,,,1,120213061298830517,"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",120213061297450517,"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",120213061297580517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,28.95
"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",18-24,male,not_delivering,"7-day click or 1-day view",7,actions:onsite_conversion.messaging_conversation_started_7d,0,0,12.17571429,"Using campaign budget",0,85.23,2024-11-08,-,-,-,2276,37.447276,14,,6.087857,0.615114,63,2.768014,1.352857,,,7,120213061298830517,"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",120213061297450517,"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",120213061297580517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,12.175714
"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",18-24,unknown,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0.15,2024-11-08,-,-,-,8,18.75,,,,,0,0,0,,,,120213061298830517,"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",120213061297450517,"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",120213061297580517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",25-34,female,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,20.79,2024-11-08,-,-,-,278,74.784173,,,,,5,1.798561,4.158,,,,120213061298830517,"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",120213061297450517,"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",120213061297580517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",25-34,male,not_delivering,"7-day click or 1-day view",5,actions:onsite_conversion.messaging_conversation_started_7d,0,0,19.73,"Using campaign budget",0,98.65,2024-11-08,-,-,-,1817,54.29279,6,,16.441667,0.330215,51,2.806824,1.934314,,,5,120213061298830517,"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",120213061297450517,"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",120213061297580517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,19.73
"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",25-34,unknown,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0.07,2024-11-08,-,-,-,3,23.333333,,,,,0,0,0,,,,120213061298830517,"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",120213061297450517,"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",120213061297580517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",35-44,female,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,1.71,2024-11-08,-,-,-,16,106.875,,,,,0,0,0,,,,120213061298830517,"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",120213061297450517,"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",120213061297580517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",35-44,male,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,4.74,2024-11-08,-,-,-,91,52.087912,,,,,3,3.296703,1.58,,,,120213061298830517,"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",120213061297450517,"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",120213061297580517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",18-24,female,not_delivering,"7-day click or 1-day view",2,actions:onsite_conversion.messaging_conversation_started_7d,0,0,50.385,"Using campaign budget",0,100.77,2024-11-16,-,-,-,1755,57.418803,7,,14.395714,0.39886,42,2.393162,2.399286,,,2,120213158197770517,"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",120213158197760517,"‎Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎‎ - Copy",120213158197750517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,50.385
"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",18-24,male,not_delivering,"7-day click or 1-day view",19,actions:onsite_conversion.messaging_conversation_started_7d,0,0,17.30157895,"Using campaign budget",0,328.73,2024-11-16,-,-,-,8843,37.174036,42,,7.826905,0.474952,190,2.148592,1.730158,,,19,120213158197770517,"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",120213158197760517,"‎Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎‎ - Copy",120213158197750517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,17.301579
"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",18-24,unknown,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0.53,2024-11-16,-,-,-,19,27.894737,,,,,0,0,0,,,,120213158197770517,"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",120213158197760517,"‎Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎‎ - Copy",120213158197750517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",25-34,female,not_delivering,"7-day click or 1-day view",8,actions:onsite_conversion.messaging_conversation_started_7d,0,0,11.87625,"Using campaign budget",0,95.01,2024-11-16,-,-,-,1188,79.974747,13,,7.308462,1.094276,70,5.892256,1.357286,,,8,120213158197770517,"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",120213158197760517,"‎Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎‎ - Copy",120213158197750517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,11.87625
"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",25-34,male,not_delivering,"7-day click or 1-day view",27,actions:onsite_conversion.messaging_conversation_started_7d,0,0,16.80481481,"Using campaign budget",0,453.73,2024-11-16,-,-,-,8158,55.617798,52,,8.725577,0.637411,258,3.16254,1.758643,,,27,120213158197770517,"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",120213158197760517,"‎Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎‎ - Copy",120213158197750517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,16.804815
"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",25-34,unknown,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,1.03,2024-11-16,-,-,-,21,49.047619,,,,,2,9.52381,0.515,,,,120213158197770517,"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",120213158197760517,"‎Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎‎ - Copy",120213158197750517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
